GEOID,NAME,variable,estimate,moe,geometry
19153000701,"Census Tract 7.01, Polk County, Iowa",medincome,57647,12114,"list(c(-93.658785, -93.657446, -93.651447, -93.645125, -93.644549, -93.642218, -93.638718, -93.631314, -93.62905, -93.628461, -93.628328, -93.627224, -93.625307, -93.625571, -93.628191, -93.631811, -93.635625, -93.639043, -93.646447, -93.648175, -93.651742, -93.658525, -93.658551, -93.658579, -93.658619, -93.65875, -93.661812, -93.658785, 41.629529, 41.629378, 41.62774, 41.62767, 41.624461, 41.620188, 41.618488, 41.620177, 41.619854, 41.618903, 41.615688, 41.614318, 41.613777, 41.612932, 41.61301, 
41.614838, 41.614625, 41.615013, 41.615055, 41.615027, 41.614982, 41.614964, 41.618622, 41.62043, 41.622916, 41.628263, 41.629552, 41.629529))"
19153001800,"Census Tract 18, Polk County, Iowa",medincome,52893,12084,"list(c(-93.586097, -93.582779, -93.580962, -93.579568, -93.572427, -93.565339, -93.565266, -93.563902, -93.561144, -93.561138, -93.558403, -93.558388, -93.558403, -93.559629, -93.563869, -93.565331, -93.570731, -93.582533, -93.585611, -93.586097, 41.600414, 41.60183, 41.603015, 41.604292, 41.606721, 41.609036, 41.609059, 41.609499, 41.610389, 41.607746, 41.607757, 41.605966, 41.600575, 41.60052, 41.600499, 41.600491, 41.600494, 41.600444, 41.600426, 41.600414))"
19153011206,"Census Tract 112.06, Polk County, Iowa",medincome,102500,14422,"list(c(-93.776683, -93.755926, -93.746479, -93.742497, -93.740334, -93.736264, -93.736229, -93.752041, -93.771332, -93.776702, -93.776683, 41.614878, 41.614934, 41.614926, 41.610445, 41.607471, 41.605489, 41.600461, 41.600469, 41.600444, 41.600451, 41.614878))"
19153001000,"Census Tract 10, Polk County, Iowa",medincome,61250,8542,"list(c(-93.673053, -93.663365, -93.658525, -93.65843, -93.658412, -93.6642, -93.672896, -93.672946, -93.672955, -93.673016, -93.673053, 41.614915, 41.614993, 41.614964, 41.604005, 41.60036, 41.600345, 41.600339, 41.604002, 41.607389, 41.611309, 41.614915))"
19153011203,"Census Tract 112.03, Polk County, Iowa",medincome,130221,15164,"list(c(-93.814297, -93.808116, -93.791515, -93.776986, -93.776683, -93.776702, -93.790632, -93.794331, -93.800852, -93.814282, -93.814267, -93.814264, -93.814265, -93.814297, 41.614868, 41.614885, 41.614937, 41.614878, 41.614878, 41.600451, 41.600425, 41.600407, 41.600436, 41.600456, 41.603169, 41.607689, 41.607844, 41.614868))"
19153000600,"Census Tract 6, Polk County, Iowa",medincome,60762,5843,"list(c(-93.645125, -93.642621, -93.64186, -93.640144, -93.636251, -93.634465, -93.629645, -93.628977, -93.628776, -93.62481, -93.624787, -93.624789, -93.624782, -93.625307, -93.627224, -93.628328, -93.628461, -93.62905, -93.631314, -93.638718, -93.642218, -93.644549, -93.645125, 41.62767, 41.632128, 41.636768, 41.636777, 41.636753, 41.63676, 41.636786, 41.636779, 41.636778, 41.636753, 41.627661, 41.619001, 41.615486, 41.613777, 41.614318, 41.615688, 41.618903, 41.619854, 41.620177, 41.618488, 41.620188, 
41.624461, 41.62767))"
19153001700,"Census Tract 17, Polk County, Iowa",medincome,36857,5031,"list(c(-93.600537, -93.598055, -93.593944, -93.583805, -93.582939, -93.582779, -93.586097, -93.59349, -93.59894, -93.600549, -93.600537, 41.607722, 41.607744, 41.607773, 41.607739, 41.602538, 41.60183, 41.600414, 41.597291, 41.596127, 41.600576, 41.607722))"
19153011025,"Census Tract 110.25, Polk County, Iowa",medincome,110341,10044,"list(c(-93.77748, -93.770976, -93.761336, -93.756496, -93.756495, -93.756484, -93.756349, -93.758593, -93.763066, -93.765764, -93.770923, -93.772612, -93.777106, -93.77748, 41.584519, 41.584575, 41.584662, 41.584693, 41.578916, 41.575612, 41.57015, 41.570147, 41.572005, 41.572432, 41.571711, 41.571865, 41.574728, 41.584519))"
19153011112,"Census Tract 111.12, Polk County, Iowa",medincome,80485,7887,"list(c(-93.751878, -93.742175, -93.736025, -93.736082, -93.724125, -93.719527, -93.718595, -93.718511, -93.718321, -93.72732, -93.727162, -93.727102, -93.725605, -93.725526, -93.732288, -93.732297, -93.734671, -93.743808, -93.74378, -93.748112, -93.751727, -93.751878, 41.592378, 41.592515, 41.592962, 41.600442, 41.600295, 41.597421, 41.596417, 41.595965, 41.593272, 41.59329, 41.591286, 41.588328, 41.588327, 41.584614, 41.58462, 41.577379, 41.577395, 41.581179, 41.584723, 41.584723, 41.584722, 41.592378
))"
19153011114,"Census Tract 111.14, Polk County, Iowa",medincome,55681,3566,"list(c(-93.771332, -93.752041, -93.736229, -93.736082, -93.736025, -93.742175, -93.751878, -93.751727, -93.756496, -93.761336, -93.770976, -93.771037, -93.771155, -93.771332, 41.600444, 41.600469, 41.600461, 41.600442, 41.592962, 41.592515, 41.592378, 41.584722, 41.584693, 41.584662, 41.584575, 41.587758, 41.592337, 41.600444))"
19153000103,"Census Tract 1.03, Polk County, Iowa",medincome,59071,5872,"list(c(-93.561265, -93.561222, -93.551544, -93.551507, -93.547707, -93.543678, -93.5419, -93.541848, -93.541835, -93.541923, -93.546731, -93.55147, -93.556132, -93.561144, -93.561153, -93.561182, -93.561251, -93.561265, 41.622238, 41.627673, 41.62772, 41.62772, 41.627902, 41.629595, 41.629596, 41.622367, 41.61875, 41.615065, 41.613563, 41.612448, 41.61114, 41.610389, 41.614992, 41.617169, 41.62027, 41.622238))"
19153011021,"Census Tract 110.21, Polk County, Iowa",medincome,94492,6750,"list(c(-93.756496, -93.751727, -93.748112, -93.74378, -93.743808, -93.734671, -93.732297, -93.732387, -93.733045, -93.734992, -93.737945, -93.739616, -93.740629, -93.751928, -93.756349, -93.756484, -93.756495, -93.756496, 41.584693, 41.584722, 41.584723, 41.584723, 41.581179, 41.577395, 41.577379, 41.572319, 41.571422, 41.572223, 41.572153, 41.570482, 41.570157, 41.570147, 41.57015, 41.575612, 41.578916, 41.584693))"
19153003100,"Census Tract 31, Polk County, Iowa",medincome,112679,31138,"list(c(-93.701579, -93.693757, -93.69101, -93.685559, -93.68168, -93.680523, -93.674292, -93.674337, -93.677423, -93.67918, -93.680378, -93.682792, -93.69213, -93.694831, -93.701579, 41.582696, 41.582845, 41.582704, 41.584519, 41.584757, 41.584837, 41.584529, 41.569682, 41.568991, 41.569029, 41.569622, 41.572122, 41.575813, 41.577313, 41.582696))"
19153002800,"Census Tract 28, Polk County, Iowa",medincome,53493,6142,"list(c(-93.674396, -93.674384, -93.672896, -93.6642, -93.658412, -93.654486, -93.654468, -93.654464, -93.654459, -93.656834, -93.664177, -93.668256, -93.674384, -93.674396, 41.596612, 41.600337, 41.600339, 41.600345, 41.60036, 41.600377, 41.596596, 41.595213, 41.593382, 41.593184, 41.593289, 41.59319, 41.591407, 41.596612))"
19153003001,"Census Tract 30.01, Polk County, Iowa",medincome,74464,9907,"list(c(-93.703658, -93.697725, -93.69375, -93.693058, -93.681322, -93.674384, -93.674396, -93.674384, -93.678779, -93.681691, -93.683508, -93.693698, -93.703561, -93.703658, 41.600437, 41.600425, 41.600411, 41.600408, 41.600363, 41.600337, 41.596612, 41.591407, 41.591415, 41.59189, 41.592154, 41.59269, 41.593157, 41.600437))"
19153002600,"Census Tract 26, Polk County, Iowa",medincome,33816,10186,"list(c(-93.654486, -93.650945, -93.643831, -93.638456, -93.637733, -93.635956, -93.644282, -93.646836, -93.654459, -93.654464, -93.654468, -93.654486, 41.600377, 41.600394, 41.600413, 41.600416, 41.5983, 41.596126, 41.595964, 41.595717, 41.593382, 41.595213, 41.596596, 41.600377))"
19153004603,"Census Tract 46.03, Polk County, Iowa",medincome,58798,7917,"list(c(-93.645094, -93.644953, -93.638197, -93.63544, -93.62575, -93.625744, -93.62574, -93.625696, -93.635316, -93.639459, -93.64303, -93.644889, -93.645053, -93.645108, -93.645094, 41.540984, 41.540984, 41.540995, 41.540999, 41.540962, 41.535546, 41.533731, 41.526475, 41.526529, 41.526553, 41.526555, 41.526102, 41.526054, 41.533739, 41.540984))"
19153001200,"Census Tract 12, Polk County, Iowa",medincome,38625,14526,"list(c(-93.646447, -93.639043, -93.635625, -93.631811, -93.633924, -93.634245, -93.634238, -93.634216, -93.634194, -93.638456, -93.643831, -93.643859, -93.643858, -93.643675, -93.646447, 41.615055, 41.615013, 41.614625, 41.614838, 41.61304, 41.608963, 41.607703, 41.604063, 41.60044, 41.600416, 41.600413, 41.60407, 41.607719, 41.608641, 41.615055))"
19153004200,"Census Tract 42, Polk County, Iowa",medincome,44114,4147,"list(c(-93.623611, -93.62162, -93.617728, -93.61313, -93.612017, -93.611414, -93.607017, -93.596896, -93.596922, -93.605292, -93.60661, -93.607589, -93.613919, -93.617158, -93.617072, -93.622735, -93.622869, -93.623611, 41.572605, 41.57418, 41.578, 41.579285, 41.580089, 41.579689, 41.578089, 41.575385, 41.569746, 41.569944, 41.570466, 41.570681, 41.570703, 41.570722, 41.568554, 41.568889, 41.569992, 41.572605))"
19153004300,"Census Tract 43, Polk County, Iowa",medincome,60123,10215,"list(c(-93.625741, -93.625754, -93.625707, -93.625472, -93.623877, -93.622967, -93.622824, -93.622735, -93.617072, -93.617158, -93.613919, -93.613727, -93.610321, -93.606991, -93.606625, -93.606519, -93.606535, -93.606513, -93.616126, -93.625757, -93.625741, 41.55183, 41.55545, 41.559079, 41.562341, 41.564941, 41.567656, 41.568493, 41.568889, 41.568554, 41.570722, 41.570703, 41.569848, 41.565351, 41.560961, 41.560616, 41.559214, 41.555373, 41.548134, 41.548165, 41.548215, 41.55183))"
